hs_class,text
positive,a inya apa pribumi sadari lihat siapa mereka kecuali kalian sama sama cina komunis misionaris abaikan twit ini usir cina indonesia
positive,presiden yang anda tuduh rezim anti islam sudah banyak berbuat untuk negeri ini sudah banyak berbuat untuk umat uniform resource locator
positive,manusia bangsat 
positive,tetapi ingat ya jangan sampai cina mengenalkan wisata haram juga ke indonesia haha
positive,be anya di mana prabowo dan pak ai keadilan sejahtera saja bib kan asyik itu dianggap antek prabowo dan antek pak ai keadilan sejahtera hidupmu pasti lebih dramatis
negative,persahabatan salah lovren ini jadi bukti bahwa beda suku agama ras bukanlah halangan dalam membina hubungan dengan sesama umat manusia perbedaan justru menjadi warna tersendiri dalam menjalin pe emanan terima kasih lovren salah favorit best friend forever bro
negative,sama saja lah lae meskipun sudah turun menurun tetapi ideologi pak ai komunis indonesia selalu melekat di jiwa mereka 
negative,saya juga kesal kalau ada yang merokok sambil naik motor iyakan kadang pengap kalau ditutup terus apalagi macet 
positive,sudah meminta maaf kunyuk bro dan enak banget rasan mereka sebar hoaks meminta maaf sebar hoaks lagi meminta maaf lagi dan mesti di sapu dulu biar jera nih orang uniform resource locator
negative,halo warga jaka a wakil kepala dinas penanaman modal dan pelayanan terpadu satu pintu provinsi daerah khusus ibu kota jaka a bapak denny wahyu haryanto mewakili wakil gubernur provinsi daerah khusus ibu kota jaka a membuka acara 2018 junior chamber international jci indonesia nasional event setiamelayanijaka a
negative,2 selain perkuat jaringan gubernur juga menekankan perlunya menguasai state of the a knowledge se a bahasa selama merantau di luar indonesia 
negative,pandangan tuan guru bajang terhadap agama dan politik
positive,penyedia berengsek 
negative,susilo bambang yudhoyono presiden ri ke 6 meminta khofifah emil untuk dekat dengan masyarakat no 1 bisa bagus
positive,yang dungu itu orang yang mau ganti presiden tetapi tidak tau siapa mikiiiir 
negative,bokep cewek bispak bandung ngentot crot di dalam dan mengunduh full uniform resource locator uniform resource locator
positive,kampret complain raga ditanggapi fuck 
positive,kamu kok kayak jablay grand theft auto maunya dijemput pakai mobil 
negative,lihat memek tante 
positive,sementara itu kerjanya memusuhi dakwah islam bubarkan hati rakyat juga berhak lengserkan jokowi kodok tukang pencitraan 
positive,apa katanya saling melengkapi orang buktinya kamu juga goblok bagaimana sih 
negative,tidak kata salah seorang khalifah rasyidin itu kami dahulu memerangi orang kafir bersama mereka kalau begitu mereka orang orang munafik tidak juga sebab orang munafik
negative,dia suka nete ujian nasional jadi maklumkan 
positive,nek lihat match terakhir chelsea sih harusnya menang mudah manchester united tapi iya embuh sih chelsea kacrut ki tidak bisa diprediksi 
negative,ya kali pak tentara nasional indonesia suruh uruskan sampah plastik 
negative,itulah yang di khawatirkan dari manuver politik dan kebijakan yang dilakukan oleh rezim ini semoga hal tersebut tidak akan pernah terjadi di negara kesatuan republik indonesia tercinta amin 
negative,permadi arya melaporkan rocky gerung ke polisi serius itu kitab suci itu fiksi kata rocky pernyataan itu salah anda merasa terhina tunggu bukankah biasa penganut agama a menganggap kitab suci 
negative,bajingan tengik memang 
positive,kok bisa pakai buruh cina kan rakyat sendiri banyak pengangguran dasar rejim kodok 
positive,
negative,rupiah haneul pada cute padahal pacarnya perek yang on retweet 
negative,bilangnya anti asing asing tidak taunya wkwk 
negative,di suriah sekolah radikal dan rakit bom pulang ke indonesia jadi tempat pukul ya di amankan 
negative,karena kadang hidup memang kayak tai malah kadang yang berak orang lain tapi kamu yang harus bereskan tainya tangan kamu iya 
positive,ih banci selotipan 
positive,haha kalah nih iya orang jahat pasti kalah
negative,gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot syiar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan pese a rakercabsu 
positive,yang cinta orde baru pasti meng idola kan prabowo amp hary tanoe di
positive,menantang buka dadalah eh menyebut setanlah memang sudah pada habis kamus melawan kenegarawanan pak joko widodo presiden ri ke 7 pada makin stresssssss nih hati hati kena strok atau serangan jantung nanti rakyat indonesia kehilangan badut badut politik merdeka 
positive,belah duren ya tidak dungu ya tidak cebong maaf ya 
negative,2 orang orang yahudi dan nasrani yang telah kami beri al kitab taurat dan injil mengenal muhammad 
positive,bubarkan hati amp front pembela islam uniform resource locator
positive,ahok memang verbalnya keras pelampiasan dan pelarian karena kelelakiannya lunak 
negative,sekadar bagikan juga teman teman kantor aku kalau ada pelanggan yang bercadar langsung bilang awas ada bom aku hanya menghela nafas 
negative,pantat mana nih ingin menusuk dan ditusuk dan open bo wa 08157686707 dan gay berondong massage boy gayjaka a gay yogyaka a gay tangger 
negative,yang diancam untuk dibunuh itu presiden republik indonesia mas terus mesti lapor dulu apakah penegak hukum tidak bisa be indak jika ada ancaman pembunuhan kepada kepala negaranya 
negative,kayak orang nyosor mau meminta nete 
negative,ngewe baik 
negative,jebur belum bukan cebur 
negative,pak ai keadilan sejahtera ulang tahun di balai kota rr berbicara mencalonkan presiden di balai kota ganti saja namanya jadi balai politik 
positive,pak perlu melanjutkan rencana untuk menyeret ke pengadilan ham pbb uniform resource locator
negative,kebijakan pengembalian barang kepada konsumen yang dilakukan apabila barang tersebut rusak cacat produksi atau konsumen merasa kurang puas dengan produk tersebut terhitung selama 7 hari dari tanggal pembelian dan haus mini kuiz hazid kunyuk ikutan dan 
negative,kisah hidup muhammad yang lebih lengkap dapat diunduh di sini
positive,penjajahan di atas bumi indonesia harus di hapus kan penjajahan ekonomi budaya hasil bumi oleh cina harus kita basmi demi negara kesatuan republik indonesia usir 
negative,we ada pipis onta tercecer di mari pantas bau pesing 
negative,kalau kejadian di sini mungkin juga kalian yang teriak paling lantang pm h pro asing lebih dahulu pas ditawari bantuan asing bikin posko ini itu yang intinya malah mengompori keluarga korban lama pm h bilang 15 hari kelamaan harusnya 3
negative,mari berjuang sampai jokowi dilantik kembali di tahun 2019 jangan gentar jangan takut walau mata benang di leher walau ujung tombak di perut dan tidak akan surut langkah kita tidak akan bisu suara kita tidak akan
negative,kayak monyet 
positive,survei di metro televisi jokowi menang dari presiden baru tapi cara menghitungnya bagaimana ya 45 bisa mengalahkan 46 jangan jangan salah judul maksudnya jokowi masih menangis sumber zie bajrie
negative,
negative,cuba lah tegak anime nih karakai jozu no takagi san kalau rasa nak feeling feeling cinta monyet zaman sekolah memang throwback habis 9 10 uniform resource locator
negative,serunya pesta budaya derau di kutai kakak anegara 
negative,ada yang mau kontaknya retweet sekarang ya banyak banget kenalan tante jilboobs sange nini namanya tante dea o 
negative,debat publik bukan ajang pembuktian siapa pintar atau sebaliknya juga bukan ruang akademik untuk pamer siapa paling indah setiap orang punya kekuatan dan kelemahan bukan hanya soal dirinya itu egosentris namanya ini lebih pada soal kekuatan menahan l
positive,duduki istana negara sekalian lengserkan jokowi salam dua tahun 
positive,wah hebatnya pak yang lagi sibuk pencitraan baca nih
positive,bagi anda mungkin tidak apa apa tapi bagi kami muslim ini sangat menghinakan kami iblis betina itu sudah menista syariat kami 
positive,baby kafir buddha teroris myanmar
positive,indonesia belum merdeka indonesia masih dijajah oleh orang cina takbir allahu akbar uniform resource locator
negative,memang benar kata pengamat politik hanta yudha kalau pasangan calon no 2 ini tidak ada kan nya di jawa tengah jawa tengah gayeng 2019 tetap jokowi
positive,jongos penista agama ahok sok sok ngong sara majikan nya penebar sara astagfirullah tobat
negative,boleh saya follow beli juga saya katolik dan ikut akun prof untuk menambah wawasan berbangsa terima kasih 
positive,kapan itu sih bejat cabul balik pengecut sih onta itu iya 
positive,menurut wibisono pencitraan jokowi telah disebarkan up media massa pro asing sehingga terkesan jokowi berhasil 
positive,adian gaya kamu kayak beruk begini kalau supir tembak metromini masuk dewan perwakilan rakyat kampungan kamu 
positive,km terlalu mainstream mengaa ikan pintar pintar itu relatif tergantung mau dibawa kemana penge iannya surat pemberitahuan tahunan anda pintar meng undeeestimate kan orang gue pintar komen saja rejim now pintar mangkrakan janji janji doang sok making
negative,kan memang gue dungu 
negative,ih masak di samakan sama sampah 
positive,gue terpukau 2019 ganti presiden
negative,aspirasi ibu lina dari sumedang kepada calon gubernur jabar berantas perebut laki orang yang sudah meresahkan kehidupan warga desa 
positive,yaelah chat saja kamu uruskan itu yang sudah kelihatan mesum anggota dewan perwakilan rakyat pada diam yang nyata selingkuh tujuh tahun kalian pura pura budek cebong intelligence quotient dua ratus tidak sampai otaknya 
negative,itu yang saya katakan sejak dulu lagi kita tak takut dengan cina atau pak i dap tapi kita bimbang pemahaman yang dibawa oleh mereka 
negative,cermin pun pecah saat dirinya berkaca 
positive,langsung tag pak ainya tidak berani ya bera i kamu banci 
negative,awwww comel nya asing kan ikut warna 
negative,islam menjadikan manusia yang idealis namun tetap realistis mempersiapkan kehidupan masa kini namun tak lupa masa depan diajak bekerja keras dan diajak pula beristirahat 
positive,kristus anjing anjing jembut keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk k
negative,agama katolik tidak ada yang menyebut katolik nusantara agama kristen protestan tidak ada yang menyebut kristen protestan nusantara agama hindu tidak ada yang menyebut hindu nusantara agama buddha tidak ada yang menyebut buddha nusantara lah kok ini
negative,3 karena berbasis teknologi digital presiden juga meminta sistem betul betul jalan dan langsung bisa digunakan dan ramah bagi pengguna ratas
positive,ah itu kan perasaanmu saja untuk menghibur diri mana ada cebong tidak bahagia presiden cebong punya tol cebong punya lah kamu punya cuma germo 
positive,kami lebih resah anda jadi presiden hidup anda penuh drama dan pencitraan main film televisi saja joko judulnya uniform resource locator
negative,agama kristen golongan darah b nasal san fernando valley 
positive,buddha bunuh muslim di myanmar
positive,yahudi bangkai meminta sama jerman sana tempat ibadah 
positive,papa meminta ketua fraksi rakyat mau nya setya novanto keluar dari dewan perwakilan rakyat bukan di pecat dari ketua dewan perwakilan rakyat percuma saya di pecat dan masih ada di dewan perwakilan rakyat
negative,cina 
positive,hoaks kodok biawak meroket sekop bangsat karbitan munafik 2019 ganti presiden 2019 presiden baru 2019 tenggelamkan jokowi ke sungai siak
positive,itu yang pada ribut komunis bla bla mungkin emoh baca yang baca pun kalau punya niat agitasi menyerang pemerintah pakai ini cari simpatisan
negative,10 presiden jokowi berharap skema kerja sama ini juga dapat dilakukan di dalam pembangunan pembangunan lainnya 
negative,pemilihan umum langsung biar buat memilih presiden dan dewan perwakilan rakyat saja calon presiden pun biar tidak kayak kucing dalam karung mungkin bisa bikin mekanisme baru yang lebih oke misal calon presiden ditentukan dari gubernur yang berprestasi jadi yang boleh maju jadi calon presiden hanya yang sudah jadi gubernur 
positive,tidak vital bagaimana sudah dari kapan inter tidak punya bek kanan yang bisa jadi pembeda terakhir itu ya era maicon di ambrosio juga baru baru setelah kedatangan cancelo bagusnya nhmmmm bera i kesimpulannya yang geblek ausilio ini 
positive,namanya juga agama munafik 
positive,43 contoh lain meski banyak tudingan dugaan korupsi tapi susilo bambang yudhoyono tidak pernah dorong kejaksaan usut apalagi himbau komisi pemberantasan korupsi usut dugaan korupsi jokowi
negative,saya mencium bau bau pecun uniform resource locator
positive,berhenti jadi konsumen wisata haji rumah yang menipu jadilah produsen wisata jiarah indonesia
negative,pemburu nazi simon wiesenthal memegang foto foto yang menggambarkan mantan kepala gestapo laki laki rauf dan sebuah van kamar gas bergerak yang dibuatnya untuk mengeksekusi orang orang yahudi 
positive,yang ada caci maki penista agama tapi ternyata ketahuan poligami mengumpet apa mau dibegitukan saya sih ogah 
positive,bubarkan negara kesatuan republik indonesia harga mati
positive,ingat baik baik kata sih royson jokowi kacung gue dan itulah mungkin alasan fundamentalnya kenapa rezim ini justru sepe i sengaja masuk ke dalam debt trap komunis cina dan no h sumatra offshore menjadi wajib untuk 2019 ganti presiden 
negative,wkwk mampus aku mau pepet ujian ah 
negative,gubernur jaman now ya anti hoaks bukan menyebar isu yang tidak pasti ganjar yasin menang ganjar yasin 1 kami ganjar yasin
positive,azan di televisi memanggil memanggil allah subhanahu wa taala dungu biadab harus dihentikan dan acara catut nama tuhan tidak boleh dilanjutkan
positive,semua itu terdapat pada kelakuan bani cebong 
negative,aku sudah lah baju macam yahudi be opi siap 4 bas itu geng semua jubah putih kopiah minyak atar berjanggut dahi belekok bak ahli syurga siap nih betul betul out of place mohon aku tak dirajam 
negative,gue ge akan marah cuma auto daftar hitam dari kehidupan gue dan sampah apa gunanya kalau tidak didaur ulang 
